Input 1          Input 2         Output          Actual Value    Error
-2371.9286150438234      3437.313211183          4176.26220703125        4176.262380004026       -4.1418081699634474e-08
3614.60610769943         4454.089771074183       5736.2265625    5736.226373026581       3.303102185388071e-08
-1933.857111124475       -531.9636431866211      2005.68896484375        2005.689069601538       -5.223032302572708e-08
-1898.9204473410914      3594.5422242487366      4065.296142578125       4065.2961352449033      1.8038591606567016e-09
2408.301638814384        4535.079515087293       5134.86767578125        5134.867378197848       5.7953473834032776e-08
-2605.393431518813       -4745.547142544343      5413.71337890625        5413.713385016994       -1.1287527599824401e-09
-1030.5247964452556      2962.8883710798646      3136.9873046875         3136.9872259173817      2.511011764930349e-08
1814.9775654828945       3129.0562321224306      3617.338134765625       3617.3383124875722      -4.91305849456297e-08
4621.043696853139        -4673.424141200118      6572.28564453125        6572.285603332999       6.2684815404629375e-09
3433.3490467524807       4319.832486017131       5518.04638671875        5518.046609452036       -4.036451699322692e-08
-409.18192911349615      -3591.028999727217      3614.26611328125        3614.2660566143854      1.5678664403347858e-08
-876.3166734877641       -3249.8014798043696     3365.87890625   3365.8788704246813      1.064367438575924e-08
3867.4609302382196       4575.883439763051       5991.32373046875        5991.324002356808       -4.538029618977783e-08

Input 1          Input 2         Output          Actual Value    Error
-576.4338518533596       2042.4472125859184      2122.2314453125         2122.2315146473743      -3.26707401235516e-08
-495.24104895962046      291.52725748934336      574.6754150390625       574.6754200710894       -8.756294001894087e-09
3112.0513507784726       2680.5925126984484      4107.3642578125         4107.364097449495       3.904280251328136e-08
-2807.381376713973       4874.11907532777        5624.8046875    5624.804614810587       1.2923011224544334e-08
-4017.754647697662       -3826.842756397264      5548.6103515625         5548.610446885452       -1.717960790457849e-08
-4760.861870396912       4953.095827193625       6870.150390625          6870.1502183258035      2.5079392883278055e-08
-2277.9228973046306      1203.8166268684745      2576.452392578125       2576.4524441933163      -2.0033434505060733e-08
-2017.5537688672707      1899.487717060062       2771.0244140625         2771.024503235685       -3.2180583420986636e-08
4249.079282382929        196.1672127223792       4253.60498046875        4253.605097246698       -2.7453876325768206e-08
-4475.136222346386       1038.5062162752993      4594.0546875    4594.054785241368       -2.1275620972097547e-08
-1804.9023424487577      -1998.8630038479882     2693.162841796875       2693.162782664504       2.195647860110057e-08
-1512.065342541854       -178.7044230086958      1522.5888671875         1522.5888712712588      -2.6821152082785873e-09
-2513.202336783571       2448.1677151087515      3508.52001953125        3508.5197942886407      6.419875688612036e-08

