Input    Output          Actual Value    Error
1.0      0.0     0.0     0
2.0      0.6931471824645996      0.6931471805599453      2.747835346613685e-09
3.0      1.0986123085021973      1.0986122886681098      1.805376445184535e-08
4.0      1.3862943649291992      1.3862943611198906      2.747835346613685e-09
5.0      1.6094379425048828      1.6094379124341003      1.868402769586884e-08
6.0      1.7917594909667969      1.791759469228055       1.2132622872116333e-08
7.0      1.9459102153778076      1.9459101490553132      3.4083019926442026e-08
8.0      2.079441547393799       2.0794415416798357      2.7478354000041273e-09
9.0      2.1972246170043945      2.1972245773362196      1.805376445184535e-08
10.0     2.3025851249694824      2.302585092994046       1.3886755637423067e-08
3.141592653589793        1.1447298526763916      1.1447298858494002      -2.8978896220308162e-08
1.4142135623730951       0.3465735912322998      0.3465735902799727      2.7478351864423596e-09
2.718281828459045        1.0     1.0     0.0
